,id,year,manufacturer,model,fuel,odometer,transmission
0,7034441763,2012.0,38,2197,2,63500.0,1
1,7034440610,2016.0,12,1764,2,10.0,0
2,7034440588,2015.0,13,3285,2,7554.0,0
3,7034440546,2016.0,12,1764,2,10.0,0
4,7034406932,2018.0,12,1843,0,70150.0,0
5,7034406582,2009.0,32,1764,2,120057.0,0
6,7034405619,2017.0,12,1819,0,95484.0,0
7,7034405349,2007.0,13,3284,2,89340.0,0
8,7034404595,2013.0,12,1798,2,226031.0,0
9,7034401857,2012.0,32,1764,0,128153.0,0
10,7034401494,1994.0,12,1798,2,168838.0,1
11,7034400341,2013.0,13,4110,4,156385.0,0
12,7034398060,2007.0,37,3859,2,135287.0,0
13,7034396354,2015.0,13,3284,2,73612.0,0
14,7034395505,2004.0,32,1764,0,235790.0,0
15,7034395342,2014.0,32,166,0,158156.0,0
16,7034394805,2015.0,13,3284,0,127515.0,0
17,7034385254,2002.0,7,3367,2,179098.0,0
18,7034384679,2003.0,25,3147,2,185220.0,0
19,7034384490,2019.0,12,1819,0,20930.0,0
20,7034384400,2010.0,13,3284,2,231570.0,0
21,7034374035,2008.0,19,3980,2,75000.0,0
22,7034366554,2001.0,12,1688,0,99164.34544628662,0
23,7034290597,2009.8306568612736,12,2787,2,9458.0,0
24,7034278551,2008.0,15,1163,2,110982.0,0
25,7034261745,2014.0,13,3285,2,93242.0,0
26,7034229439,2009.8306568612736,12,2302,2,15708.0,0
27,7034206084,2015.0,32,320,0,68013.0,0
28,7034195717,2016.0,7,3369,2,23773.0,0
29,7033845439,2016.0,7,3526,1,28000.0,0
30,7034166384,1992.0,12,459,0,13000.0,0
31,7034158475,2009.8306568612736,12,2786,2,7238.0,0
32,7034118739,2017.0,32,17,2,21125.0,0
33,7034078036,2009.8306568612736,12,2302,2,9968.0,0
34,7034037779,2009.8306568612736,12,2302,2,9228.0,0
35,7034014908,2015.0,22,3120,2,41245.0,0
36,7033992818,2011.0,6,1644,2,80855.0,0
37,7033974897,2016.0,9,2206,2,58103.0,0
38,7033963404,2018.0,16,1566,2,11892.0,0
39,7033943607,1999.0,35,2796,2,215349.0,0
40,7033939797,2015.0,37,3859,2,42649.0,0
41,7033921130,2018.0,15,1163,2,10683.0,0
42,7033912739,2017.0,12,1546,2,81130.0,0
43,7047631382,2013.0,22,2243,2,63842.0,0
44,7033844851,2016.0,12,1829,0,10.0,0
45,7033844817,2016.0,12,2021,2,10.0,0
46,7033844784,2014.0,12,2712,2,8543.0,1
47,7033830282,2010.0,12,3963,2,37700.0,0
48,7033720842,2004.0,12,1981,2,67348.0,0
49,7033680889,2014.0,32,17,2,103252.0,0
50,7033678167,2014.0,15,2769,2,79035.0,0
51,7033641942,2017.0,13,3285,2,37152.0,0
52,7032995718,2015.0,25,1208,2,37000.0,0
53,7032995571,2016.0,25,843,2,28000.0,0
54,7032995413,2013.0,4,215,2,65000.0,0
55,7033599808,2009.8306568612736,12,713,2,9650.0,0
56,7033599135,1935.0,12,209,2,0.0,0
57,7033598937,2004.0,12,2712,2,129000.0,1
58,7033519259,2019.0,6,1651,2,8800.0,1
59,7033508520,2013.0,12,1764,2,63425.0,0
60,7033478714,2016.0,32,17,2,19086.0,0
61,7033472903,2017.0,25,3551,0,35000.0,2
62,7032995174,2010.0,25,2130,2,75000.0,0
63,7032995066,2012.0,25,1217,2,83000.0,0
64,7047631279,2008.0,22,2256,2,164666.0,0
65,7033458423,2014.0,12,1764,2,93452.0,0
66,7033444323,2014.0,8,241,2,58677.0,0
67,7033417826,2006.0,37,3660,2,99164.34544628662,1
68,7033406525,2015.0,13,3322,2,67425.0,0
69,7033389810,2010.0,32,1458,0,262000.0,0
70,7033382261,2010.0,37,361,2,78728.0,0
71,7033368234,2011.0,6,1375,2,48289.0,0
72,7033356648,2019.0,29,813,2,11092.0,0
73,7033353432,2016.0,19,3967,2,28282.0,1
74,7033349656,2018.0,12,2021,2,24469.0,0
75,7033339577,2016.0,25,1490,2,14222.0,0
76,7033326157,2008.0,19,3967,2,60004.0,1
77,7033301645,2014.0,7,1334,2,68908.0,0
78,7033291267,2011.0,37,3621,2,93157.0,1
79,7033285926,2016.0,28,2829,2,55149.0,0
80,7033279476,2005.0,38,898,2,43524.0,0
81,7032994907,2004.0,25,3458,2,55000.0,0
82,7032992413,2009.8306568612736,12,2786,2,15252.0,0
83,7039834376,2016.0,5,1595,2,36959.0,0
84,7033273899,2017.0,29,3242,2,70109.0,0
85,7033268169,2019.0,29,844,2,8871.0,0
86,7033266224,2010.0,7,3818,2,115266.0,0
87,7033264267,2014.0,37,1276,2,69260.0,0
88,7033259770,2004.0,37,1093,2,113248.0,0
89,7032950500,2009.8306568612736,12,2302,2,6815.0,0
90,7033249926,2006.0,0,3842,2,104421.0,0
91,7033248670,2015.0,29,2088,2,75506.0,0
92,7033242672,2019.0,29,3242,2,19558.0,0
93,7033233997,2019.0,28,1531,2,8161.0,0
